,Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,GICS Sub-Industry Name,Exchange Name,Instrument Type,Ticker Symbol,EPS FY1 2020-11-30,EPS FY1 2020-08-31,EPS FY1 2020-05-31,EPS FY1 2020-02-29,EPS FY1 2019-11-30,EPS FY1 2019-08-31,EPS FY1 2019-05-31,EPS FY1 2019-02-28,EPS FY1 2018-11-30,EPS FY1 2018-08-31,EPS FY1 2018-05-31,EPS FY1 2018-02-28,EPS FY1 2017-11-30,EPS FY1 2017-08-31,EPS FY1 2017-05-31,EPS FY2 2020-11-30,EPS FY2 2020-08-31,EPS FY2 2020-05-31,EPS FY2 2020-02-29,EPS FY2 2019-11-30,EPS FY2 2019-08-31,EPS FY2 2019-05-31,EPS FY2 2019-02-28,EPS FY2 2018-11-30,EPS FY2 2018-08-31,EPS FY2 2018-05-31,EPS FY2 2018-02-28,EPS FY2 2017-11-30,EPS FY2 2017-08-31,EPS FY2 2017-05-31,Revenue FY1 2020-11-30,Revenue FY1 2020-08-31,Revenue FY1 2020-05-31,Revenue FY1 2020-02-29,Revenue FY1 2019-11-30,Revenue FY1 2019-08-31,Revenue FY1 2019-05-31,Revenue FY1 2019-02-28,Revenue FY1 2018-11-30,Revenue FY1 2018-08-31,Revenue FY1 2018-05-31,Revenue FY1 2018-02-28,Revenue FY1 2017-11-30,Revenue FY1 2017-08-31,Revenue FY1 2017-05-31,Revenue FY2 2020-11-30,Revenue FY2 2020-08-31,Revenue FY2 2020-05-31,Revenue FY2 2020-02-29,Revenue FY2 2019-11-30,Revenue FY2 2019-08-31,Revenue FY2 2019-05-31,Revenue FY2 2019-02-28,Revenue FY2 2018-11-30,Revenue FY2 2018-08-31,Revenue FY2 2018-05-31,Revenue FY2 2018-02-28,Revenue FY2 2017-11-30,Revenue FY2 2017-08-31,Revenue FY2 2017-05-31
BCOW,BCOW.OQ,1895 Bancorp of Wisconsin Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,BCOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCTF,BCTF.PK,Bancorp 34 Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,OTC MARKETS,Ordinary Shares,BCTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDGE,BDGE.OQ,Bridge Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BDGE,2.62,2.7372,2.398,2.566,2.506,2.72275,2.73667,2.64,2.6,2.53333,2.47633,1.9,1.9175,2.005,2.0325,2.5375,2.5544,2.578,2.7826,2.696,2.902,2.92,2.69,2.81,2.74667,2.68,2.33333,2.2025,2.2775,2.3,166184200,166306000,148472000,144328000,147533200,145573670,151734670,136916660,139885330,148089670,137154670,126768330,131215750,129006750,129609330,159961250,164130000,156324000,156434000,158148400,164537500,161858000,142723000,149529330,159897670,148628670,138523330,144719750,141786750,140540250
BFC,BFC.OQ,Bank First Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,BFC,4.39,3.84,4.18,3.88,3.68,3.99,3.67,3.78,3.78,3.73,3.62,2.69,2.6,,,4.12,3.785,4.355,4.35,4.215,4.345,4.29,3.97,3.99,3.95,3.9,3.13,2.99,,,101000000,101600000,92119000,82463000,79621000,80593500,82233000,74373000,74987000,75552000,67937000,55348000,55908000,,,98008500,96820500,97241000,94300000,87973000,90126500,91485500,76254000,77195000,78458000,71370000,70056000,73706000,,
BFIN,BFIN.OQ,BankFinancial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BFIN,0.575,0.355,0.665,0.745,0.715,0.95,0.97,0.9,0.905,0.915,0.865,0.605,0.595,0.59,0.46,0.535,0.52,0.69,0.835,0.925,1.02,1.045,0.95,0.95,0.96,0.96,0.755,0.78,0.7,0.53,46450000,45850000,47200000,52025000,52400000,53400000,54100000,52150000,52950000,54300000,54450000,49867500,50128500,54304500,58300000,46650000,46650000,48850000,49650000,54800000,57200000,57650000,54825000,56800000,58550000,58450000,54824500,55984500,58853000,64600000
BFST,BFST.OQ,Business First Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BFST,1.70333,1.532,1.878,1.8266,1.822,1.80333,1.79,1.46,1.4675,1.455,,,,,,1.6342,1.65,2.285,1.9494,1.946,2.02333,2.02,1.845,1.83,1.795,,,,,,143197670,134292000,126322000,90840500,90765000,89114000,88514330,69589000,70394670,71066500,,,,,,151984250,150453500,157088750,95276250,94640250,95350000,94977330,90083330,89609330,89380000,,,,,
BHB,BHB.A,Bar Harbor Bankshares,United States of America,Banks,Regional Banks,NYSE MKT LLC,Ordinary Shares,BHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHLB,BHLB.N,Berkshire Hills Bancorp Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,BHLB,-11.46667,-0.79333,1.874,2.3935,2.3625,2.62267,2.6325,2.73325,2.78283,2.72883,2.71817,2.28333,2.26333,2.245,2.34167,0.2275,0.888,2.016,2.666,2.6714,2.74,2.885,2.9025,3.02817,3.0565,3.037,2.62,2.67,2.61333,2.55,331286250,358397400,338312800,372610200,364276500,370090250,397970670,355151000,357929000,353527000,364861250,296614670,281575400,277529000,267457670,318596250,346179600,345994000,375934600,369650250,388228250,435801330,400713500,380224000,380915250,392078000,364574250,333944400,348910500,282663170
BKSC,BKSC.OQ,Bank of South Carolina,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,BKSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKU,BKU.N,BankUnited Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,BKU,1.72385,0.87575,2.50714,2.95385,2.90455,2.82923,2.758,3.25429,3.32867,3.28,3.18533,2.39182,2.37214,2.36714,2.41857,2.58136,2.25619,2.73857,3.05154,3.11292,3.23692,3.094,2.92429,3.20133,3.16667,3.19133,2.77786,2.67,2.71688,2.77667,902220730,875926290,872449750,901409920,906139820,914722580,909825920,1164505460,1160125170,1159551820,1147840420,1112168820,1101683750,1068650090,1074001820,928757000,904537710,901301330,903394080,926324180,959596000,958853690,964009330,1060865540,1078869580,1086809500,1155792360,1155858670,1143799000,1150419820
