,Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,GICS Sub-Industry Name,Exchange Name,Instrument Type,Ticker Symbol,EPS FY1 2020-11-30,EPS FY1 2020-08-31,EPS FY1 2020-05-31,EPS FY1 2020-02-29,EPS FY1 2019-11-30,EPS FY1 2019-08-31,EPS FY1 2019-05-31,EPS FY1 2019-02-28,EPS FY1 2018-11-30,EPS FY1 2018-08-31,EPS FY1 2018-05-31,EPS FY1 2018-02-28,EPS FY1 2017-11-30,EPS FY1 2017-08-31,EPS FY1 2017-05-31,EPS FY2 2020-11-30,EPS FY2 2020-08-31,EPS FY2 2020-05-31,EPS FY2 2020-02-29,EPS FY2 2019-11-30,EPS FY2 2019-08-31,EPS FY2 2019-05-31,EPS FY2 2019-02-28,EPS FY2 2018-11-30,EPS FY2 2018-08-31,EPS FY2 2018-05-31,EPS FY2 2018-02-28,EPS FY2 2017-11-30,EPS FY2 2017-08-31,EPS FY2 2017-05-31,Revenue FY1 2020-11-30,Revenue FY1 2020-08-31,Revenue FY1 2020-05-31,Revenue FY1 2020-02-29,Revenue FY1 2019-11-30,Revenue FY1 2019-08-31,Revenue FY1 2019-05-31,Revenue FY1 2019-02-28,Revenue FY1 2018-11-30,Revenue FY1 2018-08-31,Revenue FY1 2018-05-31,Revenue FY1 2018-02-28,Revenue FY1 2017-11-30,Revenue FY1 2017-08-31,Revenue FY1 2017-05-31,Revenue FY2 2020-11-30,Revenue FY2 2020-08-31,Revenue FY2 2020-05-31,Revenue FY2 2020-02-29,Revenue FY2 2019-11-30,Revenue FY2 2019-08-31,Revenue FY2 2019-05-31,Revenue FY2 2019-02-28,Revenue FY2 2018-11-30,Revenue FY2 2018-08-31,Revenue FY2 2018-05-31,Revenue FY2 2018-02-28,Revenue FY2 2017-11-30,Revenue FY2 2017-08-31,Revenue FY2 2017-05-31
HTBK,HTBK.OQ,Heritage Commerce Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,HTBK,0.558,0.548,0.782,1.04,1.0425,1.12,1.19167,0.81667,0.80833,1.074,1.066,0.804,0.782,0.784,0.792,0.6082,0.67,0.828,1.034,1.1025,1.23533,1.26167,1.2,1.23133,1.272,1.26,0.964,0.914,0.914,0.908,150090000,154908000,147532000,131780000,133750000,135733330,136433330,122016670,122983330,122225000,124740000,102440000,102080000,101700000,108560000,145842000,148356000,146784000,158550000,171025000,178133330,141860330,136583330,138266670,141800000,143900000,114680000,112440000,111360000,117816000
HTH,HTH.N,Hilltop Holdings Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,HTH,3.27375,2.0794,2.01,2.434,1.92667,1.655,1.4795,1.42833,1.48667,1.656,2.03617,1.4525,1.56,1.63833,1.74188,2.03175,1.828,1.876,2.0584,1.9485,1.768,1.64717,1.6945,1.7255,1.96317,2.23617,1.87167,1.90833,1.91333,1.9575,431573000,441005000,422775600,437958600,429457600,440488800,442894600,429249600,432224200,433973400,432739400,418587800,415258800,385742800,400534400,402044000,420127000,416951600,424221600,424565600,448916600,453729400,449228200,455546200,459886200,463848000,433876600,432418800,407611000,421218800
HTLF,HTLF.OQ,Heartland Financial USA Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,HTLF,3.2088,2.614,3.614,4.084,4.05833,3.81117,4.10667,3.59667,3.622,3.67429,3.83667,3.01,3.01833,2.91667,3.108,3.0208,2.802,3.87,3.9154,3.90817,4.05583,4.325,4.18167,4.28167,4.29714,4.31167,3.616,3.43833,3.50833,3.645,617104600,610062000,587841800,545295200,544454830,546634500,550435000,528209000,528876830,523922330,519898800,432345800,432740400,437921200,441813000,649907800,626323200,626831800,565518800,572248000,573437670,581569670,568991170,575318830,573585670,569729400,521737600,477223400,488652000,492289800
HVBC,HVBC.OQ,HV Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,HVBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWBK,HWBK.OQ,Hawthorn Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,HWBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWC,HWC.OQ,Hancock Whitney Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,HWC,-1.12,0.2599,3.0587,3.9855,3.97857,3.95014,4.13963,3.9852,3.9307,3.8289,3.835,2.675,2.71,2.78222,2.619,2.803,2.6804,3.2511,4.14789,4.2176,4.34875,4.3495,4.17256,4.256,4.1702,4.205,3.4343,3.31455,3.36,3.07818,1277105000,1287525000,1232864880,1225924570,1230338380,1227062430,1214629380,1151849500,1158788380,1146766250,1170832000,1087981110,1089470140,1067983000,1023817440,1228459000,1244455130,1266019000,1288466860,1321282000,1327486140,1266933630,1214473880,1237218380,1229735500,1255216130,1168508110,1165279330,1149216440,1093544330
IBCP,IBCP.OQ,Independent Bank Corp (Michigan),United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,IBCP,1.804,1.354,1.61333,1.962,1.866,1.876,1.95333,1.74167,1.72167,1.72333,1.64833,1.144,1.21167,1.208,1.16,1.514,1.442,1.67,1.97333,2.01,2.096,2.12167,1.98667,2.01667,1.98167,1.935,1.52833,1.4,1.376,1.336,123831800,125707200,120432330,122996600,123448600,124954800,125633800,113156000,112273500,109755170,108415830,89447170,88441000,87167800,83391200,119257600,120859600,123525000,125370000,130196000,133596000,136031340,126868000,125932000,123961500,122874830,107612830,95947670,94454200,89958000
IBTX,IBTX.OQ,Independent Bank Group Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,IBTX,4.09143,3.803,4.40333,4.58714,5.1272,5.2422,5.25175,4.62,4.626,4.682,4.71143,3.24571,3.29857,3.48333,3.53138,4.08,3.79367,4.524,5.15333,5.26338,5.58513,5.67338,5.29125,5.49263,5.69429,5.48857,4.35117,4.25125,4.33,4.3285,589361290,572053330,1051958330,575512710,570414430,565895880,574585380,369045380,369617140,373816710,372025000,301385500,299956630,302527500,298102000,570878140,564386830,1554305800,749668830,578841290,597297250,611029500,578994500,588801130,598228570,423690570,378009290,357753000,362215630,361695000
ICBK,ICBK.OQ,County Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,ICBK,0.16,0.04833,1.71,2.3805,2.05167,1.9978,2.02167,2.17,2.14667,2.2125,2.164,1.66,1.56,1.81333,2.02,1.22667,1.26333,1.80167,1.915,1.97833,2.0262,2.096,2.16714,2.19833,2.335,2.36,2.09667,2.035,1.96,2.235,48416670,48016000,51853250,53589500,51954500,51343500,51452250,50328800,49902400,50167750,50073750,46395000,46300000,46390000,48255000,48427000,48088000,54101750,53205750,51473000,51921250,53150000,52205400,52223800,53226250,53541500,50840000,51700000,50860000,53105000
INBK,INBK.OQ,First Internet Bancorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,INBK,1.7614,1.752,2.078,2.36,2.39,2.432,2.43,2.575,2.67667,2.89167,3.248,2.382,2.302,2.262,2.2925,2.066,2.014,2.534,2.5825,2.644,2.786,2.778,2.94167,3.312,3.46,3.8625,3.056,3.0775,2.8125,2.93667,66923500,64770400,65968250,65273330,66977800,71686400,69925170,64220750,67224500,70148500,73216800,55264400,55195400,52473000,49037750,72080000,69897250,72745250,69866670,72881000,82196000,82650000,78636830,84541400,87908200,89356750,72393600,75192250,64048750,60193330
INDB,INDB.OQ,Independent Bank Corp (Massachusetts),United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,INDB,3.21,3.28,4.703,5.154,4.9475,5.37333,5.575,4.5225,4.4875,4.34775,4.43,3.28,3.326,3.274,3.36,3.2475,3.666,4.8208,5.528,5.5175,5.7725,5.9125,5.64,5.311,4.7455,4.7825,4.016,4.01,3.782,3.8875,484979000,489616670,501470000,504167330,503831500,498582000,509822000,386495000,388872500,373272500,370961500,341153670,342941340,338224670,339194000,477287500,500306670,509780000,519702330,532500000,536660500,548673000,508847000,463466000,401717000,394501500,366860330,368655330,360623670,360991000
IROQ,IROQ.OQ,IF Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,IROQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISBC,ISBC.OQ,Investors Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,ISBC,0.76443,0.75143,0.94571,0.76286,0.72333,0.73557,0.81667,0.777,0.774,0.7712,0.7576,0.601,0.568,0.62444,0.66889,0.847,0.83857,1.02,0.89571,0.762,0.81,0.86778,0.7819,0.7836,0.796,0.802,0.684,0.632,0.71444,0.75222,720863710,726460710,712150710,658991570,671942000,668809430,689262000,675645500,694154000,685507780,711112600,683221100,670438600,685042560,685617550,743415570,742617430,743366430,703397000,726759000,703408290,718227330,667681700,706766700,704992890,738412500,706869500,695349890,724161780,731538770
ISTR,ISTR.OQ,Investar Holding Corp,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,ISTR,1.0128,1.03,1.832,1.888,1.91167,1.9375,1.896,1.645,1.675,1.6825,1.755,1.03667,1.15,1.11,1.09667,0.8738,1.196,2.08,2.09975,2.18333,2.1275,2.136,1.978,1.96,1.9875,2.09,1.615,1.61,1.61667,1.56,81674000,80832250,80702000,70836000,70839000,70567750,71179000,61776250,61934250,61096500,59607250,45485250,45214500,43406330,44234500,79204500,84436000,88559500,82608330,79837200,76299000,77361670,71553250,66886250,66308750,65356750,59747000,59241000,53788670,53582000
KEY,KEY.N,KeyCorp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,KEY,0.93945,0.62377,1.6988,1.6559,1.73591,1.78826,1.83581,1.73032,1.73811,1.70279,1.6773,1.31208,1.3616,1.33542,1.31276,1.26857,1.33455,1.83495,1.88425,1.88756,1.93719,1.99044,1.90685,1.91011,1.88307,1.84123,1.53671,1.5497,1.5662,1.51731,6591064530,6345244280,6407162180,6397075100,6446298910,6474726860,6588965730,6427727380,6495077550,6482872460,6469669460,6234915210,6240306920,6154836090,6039276570,6551625820,6431737110,6550870820,6530335950,6593064050,6685034730,6772867640,6618811500,6777466140,6790735090,6755332950,6485921460,6454501000,6455707440,6340971960
KFFB,KFFB.OQ,Kentucky First Federal Bancorp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,KFFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRNY,KRNY.OQ,Kearny Financial Corp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,KRNY,0.52,0.405,0.415,0.515,0.45667,0.49,0.46667,0.48567,0.49767,0.31567,0.28667,0.28667,0.24333,0.22,0.23333,0.555,0.44,0.43,0.525,0.505,0.52333,0.50333,0.515,0.565,0.41967,0.43,0.42,0.28,0.24,0.25333,172977000,147070000,143041000,147715000,147965000,156387500,158035330,160320500,157116500,117316000,116574500,118578330,116508330,103663670,101734000,177111000,169779500,156062000,155744000,151595500,158106670,163004000,162297500,161431000,147090000,146708500,154004500,124059500,111818000,108513500
LARK,LARK.OQ,Landmark Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,LARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,LBAI.OQ,Lakeland Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,LBAI,1.04286,1.14714,1.20286,1.41167,1.39133,1.422,1.33167,1.34833,1.34417,1.351,1.364,1.112,1.096,1.072,1.066,1.10571,1.14429,1.27857,1.38286,1.39429,1.46,1.41167,1.38667,1.436,1.4458,1.468,1.246,1.248,1.238,1.252,233330830,238775170,226296830,219848170,222238170,224077400,220988200,195524600,198105200,196502250,198503500,187833500,188127000,185788750,183467500,237018330,238383000,236000170,224745830,231416670,235665600,233270000,222402000,229270000,209336500,212771750,199355750,201119750,200990000,200171250
LBC,LBC.OQ,Luther Burbank Corp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,LBC,0.75,0.67667,0.83433,0.88333,0.82,0.83925,0.7975,0.814,0.815,0.84,0.7825,,,,,0.947,0.89667,0.92967,0.98533,0.9125,0.911,0.91,0.8875,0.98575,1.0275,0.9925,,,,,138698000,137167000,140500000,133009670,129124000,132884000,131198750,128941500,131322750,133659250,126776500,,,,,153375000,152100330,147700000,142600000,137836750,142152750,144593000,139885750,149401000,153832250,147698750,,,,
LCNB,LCNB.OQ,LCNB Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,LCNB,1.45,1.45,1.52,1.44,1.44,1.56,1.58,1.4,1.5,1.52,1.58,1.25,1.27,1.26,1.255,1.55,1.55,1.58,1.52,1.58,1.74,1.78,1.62,1.72,1.75,1.82,1.35,1.32,1.32,1.31,55927000,55927000,56449000,53955000,55148000,55148000,55246000,49141000,49141000,50913000,49887000,40667000,41337000,41571000,51802000,58949000,58949000,59553000,54606000,57823000,57823000,59046000,57915000,57915000,60068000,59999000,50160000,44575000,44348000,54129000
LEVL,LEVL.OQ,Level One Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,LEVL,2.202,2.745,1.89667,1.88333,1.9775,2.0075,2.05333,1.84333,1.93667,1.99333,,,,,,1.77867,1.54667,2.03667,2.42067,2.5425,2.1925,2.27,2.12333,2.18667,2.26667,,,,,,93024330,90300000,76166670,63458330,64058500,63459000,64300330,57720670,57516330,59087000,,,,,,89281670,81000000,77933330,76960330,78734000,68343250,69763670,65415670,64696000,66219330,,,,,
LKFN,LKFN.OQ,Lakeland Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,LKFN,2.9816,2.858,2.636,3.2925,3.25017,3.3076,3.29333,3.08667,3.06833,3.00667,2.956,2.394,2.37,2.276,2.202,2.5766,2.58,2.734,3.0825,3.19667,3.4684,3.50167,3.27333,3.292,3.21667,3.178,2.618,2.54,2.468,2.422,211750000,212066670,191833330,200900670,199599750,203112250,205441000,191892750,192680750,191273250,189369000,173728750,173103000,170651500,168712500,198350000,201800000,196066670,202333330,204302750,214315750,217789500,204198000,206109250,203596750,203138500,188311000,188669500,186326750,183997000
LMST,LMST.OQ,Limestone Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,LMST,0.775,0.61,1.3,1.49,1.53,,1.31,,,,,,,,,0.64,0.615,1.485,1.6,1.72,,1.52,,,,,,,,,48000000,48000000,47000000,42000000,42400000,,36480000,,,,,,,,,48000000,48000000,51000000,49700000,51000000,,40390000,,,,,,,,
LOB,LOB.OQ,Live Oak Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,LOB,0.69333,0.09,0.405,0.365,0.44,0.325,0.24,1.11,1.388,1.3725,1.174,1.085,0.88,0.965,0.90333,1.44,0.42,0.79,0.63,0.875,0.7,0.85,0.335,1.627,1.699,1.501,1.10667,1.2,1.26333,1.26,275284670,223483000,234237500,206340000,202963500,198593500,204525000,213710000,241554000,246497500,226283500,187605000,185512500,187765000,182566670,323153340,241726000,266152000,239676000,244596000,237738000,252493500,212277500,276337000,294310500,274095000,230863330,240462500,234186670,226570000
LSBK,LSBK.OQ,Lake Shore Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,LSBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBCN,MBCN.OQ,Middlefield Banc Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,MBCN,1.335,1.19,1.39,1.96,1.9325,1.98,2.06,1.8675,1.8475,1.8075,1.98,1.5875,1.6525,1.725,1.765,1.38,1.36,1.475,1.97,1.895,2.115,2.16,1.98,1.9425,1.93,2.1125,1.6975,1.82,1.8,1.95,49200000,48500000,45700000,46800000,46700000,48100000,48100000,45200000,45100000,45400000,46000000,42800000,43100000,43600000,41900000,46600000,46500000,44600000,47600000,48500000,50400000,50800000,47900000,47500000,48400000,49100000,46500000,46900000,47600000,45200000
MBIN,MBIN.OQ,Merchants Bancorp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,MBIN,3.99867,1.99733,2.01867,2.03333,1.93525,1.912,2.22125,2.11325,2.14075,2.2,2.1095,1.89,,,,3.03333,1.97867,1.90967,1.91333,2.05125,2.1325,2.40675,2.366,2.4105,2.494,2.4285,1.9375,,,,274246000,213182670,179069330,152960000,149417250,143463250,154202500,136539250,137243000,137522750,135453000,107938250,,,,248628670,209491000,182472330,164152330,166875250,161294500,168015500,154098750,155244250,154180250,153820250,128256250,,,
MBWM,MBWM.OQ,Mercantile Bank Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MBWM,2.0132,1.8146,1.902,2.85,2.69967,2.658,2.565,2.44,2.44667,2.48167,2.38333,1.864,1.878,1.9,1.902,1.329,1.2174,1.9,2.512,2.529,2.7368,2.76167,2.585,2.645,2.64833,2.655,2.185,2.145,2.154,2.198,156184500,153486250,144913750,146810250,145845000,145240800,144479800,137607800,137733000,138567600,137576400,128825250,127413000,127214330,127217330,142997000,141229750,144980250,146938500,149933200,153323000,154009000,144869600,146190000,147492000,147677000,138538750,137026330,136516330,135240670
MCB,MCB.N,Metropolitan Bank Holding Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,MCB,3.905,3.385,3.63,3.505,3.35,3.78667,3.34,3.05667,2.98633,3.37,3.13333,2.09333,,,,4.15,4.155,4.68,4.115,3.97,4.17667,4.02333,3.36,3.50833,4.122,3.78,2.3,,,,139102500,137126500,131000000,107000000,107217500,102118000,97179000,83035330,86290330,91810330,81097000,58250000,,,,153746500,152578000,149200000,129350000,132178500,118461670,114252330,92539000,100062670,107513000,95484000,76050000,,,
MCBC,MCBC.OQ,Macatawa Bank Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MCBC,0.705,0.656,0.635,0.913,0.88,0.85767,0.82,0.76667,0.77667,0.73333,0.695,0.555,0.555,0.54,0.525,0.58,0.56,0.595,0.82,0.82333,0.89,0.87333,0.82333,0.85,0.81667,0.775,0.605,0.6,0.59,0.575,83832500,83670500,77729000,82994000,83030000,82356330,82002000,77034330,77395670,76643000,75116500,69454500,70481500,70853500,72142500,79404000,79746500,76869500,81238000,84792000,86688000,87012000,81825000,82891000,82055670,80908000,74438000,76078000,76558500,77678000
MCBS,MCBS.OQ,Metrocity Bankshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MCBS,1.31667,1.22667,1.51333,1.84667,,,,,,,,,,,,1.23667,1.18,1.44333,1.80667,,,,,,,,,,,,89433330,88233330,95966670,103000000,,,,,,,,,,,,91500000,90900000,97333330,107000000,,,,,,,,,,,
MFNC,MFNC.OQ,Mackinac Financial Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,MFNC,1.0705,1.115,1.02,1.325,1.345,1.325,1.305,1.14,1.125,1.225,,,,,,0.9105,0.94,1.04,1.39,1.455,1.435,1.42,1.315,1.345,1.375,,,,,,62061000,62061000,57100000,59825500,59825500,59546500,59273500,51056500,50091000,50053000,,,,,,59393500,59643500,58300000,61582500,62732500,62598500,61898500,60750000,59836500,59671500,,,,,
MGYR,MGYR.OQ,Magyar Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,MGYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLVF,MLVF.OQ,Malvern Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,MLVF,0.72,0.78,1.12,1.48,1.22,1.32,1.61,1.61,1.31,1.375,1.485,1.585,0.955,0.91,0.91,1.01,1.05,1.18,,1.64,1.77,2.03,2.03,1.89,1.934,2.065,2.11,1.475,1.405,1.45,29310000,30474000,30523000,33841000,31969000,32943000,36217000,36217000,30081000,32483000,31212500,32684000,25684000,24553000,25015000,30878000,34306000,34637000,,36495000,38513000,43447000,43447000,35389000,37694000,37576500,38512500,32001000,30539000,31445000
MNSB,MNSB.OQ,MainStreet Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,MNSB,1.2,1.72,1.85,1.7,1.62,,1.55,,1.26,1.26,,,,,,1.65,1.85,,1.83,1.79,,1.75,,1.53,1.53,,,,,,44580000,44580000,,,,,39165000,,29631000,29631000,,,,,,50108000,50108000,,,,,43605000,,33850000,33850000,,,,,
MOFG,MOFG.OQ,Midwestone Financial Group Inc (IOWA),United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MOFG,1.874,1.2625,2.59,2.905,2.975,2.97725,3.10667,2.5125,2.686,2.73,2.775,1.82333,2.452,2.466,2.5675,2.1966,2.19,2.5875,3.16825,3.168,3.1985,3.25,3.095,3.21667,2.872,2.914,2.592,2.656,2.68,2.7475,155131600,159089000,151990000,144129250,138185400,136736250,140434000,106002250,107392000,107913400,107326600,105411600,105174000,104406600,104365750,147918600,154130000,152137250,157686000,154335200,154206500,154945330,147463250,147448750,111923200,111480400,109466200,109697800,109682600,109738000
MPB,MPB.OQ,Mid Penn Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,MPB,2.86,2.302,1.615,2.135,2.154,2.199,,,,,,,,,,2.016,1.76,1.875,2.226,2.347,2.353,,,,,,,,,,106639000,102879500,83313000,82678000,83642000,82870000,,,,,,,,,,94839500,92926000,89259500,88438000,90321000,89613000,,,,,,,,,
MRBK,MRBK.OQ,Meridian Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MRBK,2.67333,1.49333,1.32,1.52667,1.41,1.46,1.41667,1.32,1.03,1.22667,1.30333,0.77333,,,,1.93467,1.798,1.57,1.72233,1.71467,1.73,1.72667,1.45667,1.43333,1.55667,1.59,1.34,,,,112533670,86751330,77124000,68116670,65337670,64640670,68333330,65900000,66037330,69833330,72133330,65666670,,,,95001000,84179330,82131670,71399330,68023330,69759000,74266670,70566670,72363330,75600000,77566670,71100000,,,
MSBI,MSBI.OQ,Midland States Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MSBI,1.32,1.36725,2.1275,2.39775,2.5175,2.565,2.675,2.45,2.48333,2.49667,2.4325,1.36667,1.89667,2.30333,2.2875,1.7445,1.699,2.12,2.7325,2.6575,2.9775,2.81,2.7675,2.935,3.0075,3.0175,2.6225,2.615,2.7025,2.7375,265425000,259995000,262100000,267091500,268290000,268716500,263985000,247645000,252780000,260495000,262355000,191720000,196912500,201792500,199975000,256504500,256409000,260020000,277753750,285332500,292769250,275367500,270220000,276520000,284510000,287522500,268995000,227322500,234930000,233125000
MSVB,MSVB.OQ,Mid-Southern Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,MSVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTB,MTB.N,M&T Bank Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,MTB,8.74265,7.8359,12.18706,13.58353,13.80895,14.5525,14.48419,12.50722,12.23842,11.98389,12.20448,9.10118,9.27211,9.13842,8.70429,9.66385,10.4975,12.77529,13.6485,14.10191,15.22177,15.31414,14.07486,13.93273,13.46582,13.12273,10.19118,10.00091,10.05457,9.79592,5897596800,5956444880,5903974930,6166415000,6132074350,6163060940,6141753180,5895768830,5910095060,5876185170,5844144220,5607427180,5630743530,5630518000,5501998210,5741984670,5910527130,5970896640,6059496810,6090901000,6237586830,6234310560,6060841830,6106339000,6080087830,6053421290,5806333290,5851696240,5898405650,5780353050
MVBF,MVBF.OQ,MVB Financial Corp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,MVBF,2.15,1.45,1.045,2.035,2.04,1.09,1.1,,,,,,,,,0.95,1.09,0.945,1.17667,1.21,1.18333,1.2,,,,,,,,,129800000,112450000,103100000,107240000,101915000,96433500,96900000,,,,,,,,,89350000,88950000,81300000,113120000,106735000,101812500,101600000,,,,,,,,
MYFW,MYFW.OQ,First Western Financial Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,MYFW,2.27667,0.96,0.975,1,1.16,1.1,1.155,0.635,0.78,,,,,,,1.53333,1.14333,1.39,1.475,1.535,1.585,1.785,1.255,1.725,,,,,,,89289000,75720330,72698500,64758000,64960500,64008000,63434500,58422000,61796000,,,,,,,86709670,78831330,79406000,71452000,72148500,73128000,74372500,65724000,74336000,,,,,,
NBHC,NBHC.N,National Bank Holdings Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,NBHC,2.2,1.738,1.802,2.48433,2.46,2.378,2.276,2.158,2.138,1.984,1.81167,1.15833,1.225,1.208,1.0975,1.944,1.674,1.822,2.344,2.409,2.519,2.48167,2.3,2.33833,2.22833,2.12167,1.65167,1.70667,1.78,1.522,315012400,288693000,281791400,291894400,288433170,286670170,284832330,272595600,277369400,276276800,270839600,188557000,191393400,190378200,192336600,289230000,281019400,283363000,290683600,299324330,302010330,302213500,286051600,294718200,294967000,291998000,269169600,285318800,289453500,212730200
NBN,NBN.OQ,Northeast Bank,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,NBN,3.07,,,2.56,,,,,,2.01,2.01,2.01,2.03,1.47,1.17,,,,,,,,,,,,,,1.88,,,,,,,,,,67100000,63500000,60700000,61700000,62600000,55500000,53200000,,,,,,,,,,67100000,66200000,66800000,,59300000,56400000
